lotid,deviceid,processid,operationid,parameterid,mv,wafer,usl,lsl,ucl,lcl,mean,standard_dev,target_value
F19320003.F1,SCL19MP0021_Process_R4,Product Flow 1.8V/3.3V w,MDF_YEDR1.033,CP_Pad_NIT_0.2_Delta,352.0,1,300.0,-125.0,125.0,-125.0,59.825242718446596,48.404226679906024,59.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,710.0,1,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,686.0,2,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,528.0,3,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,1176.0,4,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,425.0,5,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,987.0,6,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,833.0,7,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,1224.0,8,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,1293.0,9,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
F18190003.F1,SCL18MP0015,Product Flow 1.8V/3.3V w,MWE_YEDR1.041,CP_Pad_Scan_0.16,1253.0,10,400.0,0.0,400.0,0.0,244.2282878411911,207.26874562531063,244.0
